inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,4,36,28,656,2024-07-14
2,1,2,367,32,423,2024-11-19
3,2,1,270,20,517,2025-05-01
4,3,1,454,16,866,2024-08-18
5,3,4,11,26,630,2024-02-22
6,4,1,103,19,376,2025-07-31
7,4,3,180,42,975,2024-03-04
8,5,1,46,20,658,2024-10-09
9,6,1,88,41,999,2024-06-21
10,6,3,95,13,724,2025-07-22
11,6,2,415,40,501,2024-05-19
12,7,1,217,33,488,2025-07-07
13,8,5,166,47,594,2025-07-31
14,9,3,139,11,344,2024-09-05
15,9,3,270,11,487,2024-08-16
16,9,4,174,10,593,2024-03-23
17,10,5,47,25,573,2025-02-27
18,10,2,215,38,450,2024-02-23
19,11,4,258,33,430,2024-10-23
20,11,5,298,10,484,2025-09-04
21,12,4,71,47,625,2025-12-15
22,13,3,100,39,287,2025-12-06
23,13,4,476,42,288,2025-03-02
24,14,4,171,27,606,2025-06-07
25,14,2,186,39,479,2024-09-19
26,15,5,241,44,673,2024-12-06
27,15,5,228,34,710,2024-01-15
28,15,3,45,14,319,2025-01-27
29,16,4,258,28,619,2026-02-04
30,16,3,293,25,675,2026-01-24
31,17,1,378,27,970,2024-06-12
32,17,5,466,31,714,2024-08-03
33,18,3,109,35,415,2025-09-20
34,18,2,81,21,277,2025-11-01
35,19,1,161,35,869,2024-01-14
36,19,3,483,39,748,2024-06-23
37,19,1,483,15,534,2025-01-01
38,20,5,436,40,499,2025-09-13
39,20,4,378,39,248,2024-08-30
40,20,3,266,32,904,2025-03-13
41,21,3,386,48,228,2024-10-28
42,22,4,466,44,938,2025-02-19
43,22,5,243,37,588,2024-06-27
44,23,4,212,45,878,2024-05-22
45,24,3,464,14,372,2025-11-19
46,24,3,96,46,974,2025-06-28
47,24,3,59,34,802,2025-05-17
48,25,5,106,25,701,2024-06-29
49,26,1,222,37,559,2025-11-26
50,27,4,328,42,261,2025-12-08
51,27,2,434,13,499,2024-01-08
52,27,2,210,15,679,2024-10-17
53,28,1,94,18,259,2025-11-28
54,28,5,19,43,909,2025-01-16
55,29,3,374,35,283,2024-04-04
56,29,1,309,43,542,2024-01-03
57,29,2,100,47,879,2025-11-22
58,30,5,330,42,393,2025-03-01
59,30,2,259,49,517,2025-04-12
60,31,2,178,48,833,2024-10-23
61,31,1,235,13,485,2025-12-22
62,31,1,181,28,882,2024-07-04
63,32,3,460,38,969,2025-01-28
64,33,5,331,10,837,2024-10-09
65,33,3,108,30,609,2024-03-16
66,34,3,369,41,389,2024-06-11
67,34,1,253,38,858,2024-10-11
68,35,3,89,11,248,2025-03-01
69,36,5,275,22,943,2026-02-08
70,36,1,187,18,491,2024-10-03
71,37,3,40,34,963,2025-03-26
72,38,1,64,43,284,2024-05-21
73,39,2,476,50,690,2025-10-28
74,39,1,175,16,892,2026-01-22
