order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
1,ORD-20240421-00001,104,2024-04-21,procesando,998.68,15,240,209.72,1298.6,debit_card,express,,Nota del cliente: Dejar en portería
2,ORD-20251107-00002,148,2025-11-07,pendiente,3475.83,0,60,729.92,4265.75,paypal,express,,
3,ORD-20231026-00003,254,2023-10-26,enviado,1248.35,12,50,262.15,1410.7,debit_card,standard,,
4,ORD-20250819-00004,19,2025-08-19,entregado,2342.4,10,180,491.9,2780.06,paypal,pickup,,
5,ORD-20250514-00005,212,2025-05-14,entregado,3583.25,0,300,752.48,4635.73,debit_card,pickup,,
6,ORD-20230807-00006,289,2023-08-07,entregado,2893.34,7,110,607.6,3408.41,cash_on_delivery,same_day,,
7,ORD-20230323-00007,157,2023-03-23,procesando,3217.16,7,360,675.6,4027.56,paypal,standard,,
8,ORD-20241229-00008,56,2024-12-29,pendiente,1977.64,14,110,415.3,2226.07,credit_card,same_day,,Nota del cliente: Envolver para regalo
9,ORD-20260203-00009,2,2026-02-03,enviado,5258.3,12,400,1104.24,6131.54,credit_card,same_day,7,
10,ORD-20251127-00010,101,2025-11-27,enviado,2375.55,12,30,498.87,2619.35,bank_transfer,same_day,2,
11,ORD-20230330-00011,19,2023-03-30,procesando,856.36,19,340,179.84,1213.49,credit_card,express,,
12,ORD-20250327-00012,132,2025-03-27,procesando,1971.9,14,100,414.1,2209.93,cash_on_delivery,same_day,,Nota del cliente: Llamar antes
13,ORD-20230726-00013,252,2023-07-26,entregado,2096.82,14,100,440.33,2343.6,bank_transfer,pickup,5,
14,ORD-20240304-00014,239,2024-03-04,procesando,2006.42,20,350,421.35,2376.49,cash_on_delivery,standard,,
15,ORD-20251002-00015,295,2025-10-02,enviado,2581.23,7,130,542.06,3072.6,credit_card,standard,,
16,ORD-20240403-00016,13,2024-04-03,cancelado,1020.92,8,100,214.39,1253.64,paypal,standard,,
17,ORD-20230508-00017,128,2023-05-08,pendiente,546.13,18,130,114.69,692.52,cash_on_delivery,standard,,
18,ORD-20250508-00018,27,2025-05-08,entregado,3992.21,20,370,838.36,4402.13,debit_card,pickup,,
19,ORD-20240426-00019,92,2024-04-26,entregado,1379.73,20,490,289.74,1883.52,bank_transfer,same_day,,
20,ORD-20250227-00020,45,2025-02-27,pendiente,2256.16,15,310,473.79,2701.53,paypal,pickup,,
21,ORD-20260105-00021,72,2026-01-05,enviado,995.25,16,170,209,1215.01,credit_card,standard,,Nota del cliente: Dejar en portería
22,ORD-20250203-00022,15,2025-02-03,enviado,2158.52,14,150,453.29,2459.62,debit_card,same_day,,
23,ORD-20260218-00023,201,2026-02-18,cancelado,2075.1,0,130,435.77,2640.87,paypal,express,,
24,ORD-20230306-00024,298,2023-03-06,entregado,1000.94,15,260,210.2,1321,cash_on_delivery,same_day,,
25,ORD-20230826-00025,4,2023-08-26,procesando,1771.47,13,70,372.01,1983.19,credit_card,standard,,
26,ORD-20240516-00026,128,2024-05-16,enviado,3570.29,11,330,749.76,4257.32,bank_transfer,same_day,3,Nota del cliente: Entregar por la tarde
27,ORD-20230717-00027,181,2023-07-17,enviado,1115.31,1,210,234.22,1548.38,paypal,standard,1,
28,ORD-20250314-00028,96,2025-03-14,pendiente,4545.43,15,290,954.54,5108.16,paypal,express,,Nota del cliente: Dejar en portería
29,ORD-20230725-00029,9,2023-07-25,cancelado,1598.82,14,370,335.75,2080.74,credit_card,pickup,,
30,ORD-20240525-00030,221,2024-05-25,pendiente,998.04,8,180,209.59,1307.79,bank_transfer,express,,
31,ORD-20250224-00031,331,2025-02-24,entregado,3180.65,14,300,667.94,3703.3,bank_transfer,express,9,
32,ORD-20250417-00032,50,2025-04-17,pendiente,1360.05,20,40,285.61,1413.65,paypal,pickup,8,
33,ORD-20240525-00033,204,2024-05-25,enviado,1740.72,2,490,365.55,2561.46,credit_card,standard,,
34,ORD-20230801-00034,194,2023-08-01,entregado,2428.69,2,100,510.02,2990.14,paypal,pickup,,Nota del cliente: Dejar en portería
35,ORD-20250411-00035,292,2025-04-11,pendiente,3052.25,3,200,640.97,3801.65,bank_transfer,express,3,
36,ORD-20250205-00036,322,2025-02-05,enviado,1692.59,6,320,355.44,2266.47,debit_card,standard,,
37,ORD-20241212-00037,100,2024-12-12,enviado,1595.95,8,380,335.15,2183.42,bank_transfer,express,,
38,ORD-20240308-00038,98,2024-03-08,entregado,1705.3,8,370,358.11,2296.99,credit_card,standard,,
39,ORD-20250603-00039,264,2025-06-03,entregado,778.65,16,490,163.52,1307.59,debit_card,same_day,3,
40,ORD-20240721-00040,63,2024-07-21,enviado,4519.8,11,90,949.16,5061.78,bank_transfer,same_day,,
41,ORD-20230328-00041,279,2023-03-28,enviado,2506.04,6,430,526.27,3311.95,paypal,pickup,,
42,ORD-20230121-00042,77,2023-01-21,procesando,904.16,17,20,189.87,960.32,debit_card,express,,Nota del cliente: Llamar antes
43,ORD-20250417-00043,299,2025-04-17,cancelado,3712.72,18,310,779.67,4134.1,cash_on_delivery,express,,
44,ORD-20241003-00044,291,2024-10-03,pendiente,1816.36,15,460,381.44,2385.35,bank_transfer,standard,,
45,ORD-20240610-00045,1,2024-06-10,entregado,920.72,12,390,193.35,1393.58,debit_card,same_day,,
46,ORD-20230226-00046,115,2023-02-26,procesando,1932.24,14,110,405.77,2177.5,credit_card,pickup,,
47,ORD-20250602-00047,291,2025-06-02,procesando,3209.24,9,110,673.94,3704.35,bank_transfer,express,,
48,ORD-20250131-00048,59,2025-01-31,entregado,2787.77,3,280,585.43,3569.57,paypal,same_day,,
49,ORD-20230902-00049,243,2023-09-02,entregado,2213.39,6,20,464.81,2565.4,bank_transfer,same_day,,
50,ORD-20250815-00050,200,2025-08-15,enviado,1754.51,4,260,368.45,2312.78,cash_on_delivery,standard,,
51,ORD-20231106-00051,319,2023-11-06,cancelado,1639.18,0,350,344.23,2333.41,paypal,standard,,
52,ORD-20230410-00052,256,2023-04-10,pendiente,6630.77,5,360,1392.46,8051.69,debit_card,express,,
53,ORD-20230903-00053,195,2023-09-03,pendiente,2304.14,4,370,483.87,3065.84,bank_transfer,express,,
54,ORD-20240104-00054,328,2024-01-04,entregado,3229.3,1,430,678.15,4305.16,paypal,express,,
55,ORD-20240522-00055,149,2024-05-22,entregado,3693.66,6,60,775.67,4307.71,credit_card,standard,5,Nota del cliente: Envolver para regalo
56,ORD-20260101-00056,49,2026-01-01,pendiente,1114.01,18,140,233.94,1287.43,bank_transfer,express,,
57,ORD-20231009-00057,20,2023-10-09,pendiente,2545.6,10,330,534.58,3155.62,debit_card,standard,,Nota del cliente: Dejar en portería
